country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-08-07 11:00:00,22.5448082,88.3403691,PM2.5,78.0,90.0,84.0
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-08-07 11:00:00,22.5448082,88.3403691,PM10,93.0,105.0,100.0
India,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",2026-08-07 11:00:00,26.6879226,88.4152495,PM2.5,16.0,26.0,20.0
India,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",2026-08-07 11:00:00,26.6879226,88.4152495,OZONE,24.0,26.0,25.0
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",2026-08-07 11:00:00,16.711754,81.092095,SO2,12.0,17.0,13.0
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",2026-08-07 11:00:00,16.316553,80.413302,PM10,44.0,71.0,51.0
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",2026-08-07 11:00:00,16.316553,80.413302,NO2,18.0,41.0,26.0
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",2026-08-07 11:00:00,16.316553,80.413302,SO2,6.0,22.0,10.0
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-08-07 11:00:00,14.465052,78.824187,PM10,46.0,87.0,52.0
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",2026-08-07 11:00:00,15.83411,78.028546,PM2.5,29.0,64.0,43.0
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",2026-08-07 11:00:00,15.83411,78.028546,SO2,8.0,9.0,9.0
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",2026-08-07 11:00:00,15.83411,78.028546,CO,4.0,9.0,7.0
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-08-07 11:00:00,16.186555,81.13219,NO2,10.0,32.0,21.0
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-08-07 11:00:00,16.186555,81.13219,NH3,2.0,5.0,3.0
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-08-07 11:00:00,16.186555,81.13219,CO,13.0,27.0,20.0
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",2026-08-07 11:00:00,14.438164,79.966814,NH3,5.0,7.0,6.0
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-08-07 11:00:00,16.9872867,81.7363176,SO2,4.0,5.0,5.0
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-08-07 11:00:00,17.72,83.3,CO,7.0,68.0,28.0
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-08-07 11:00:00,27.103358,93.679645,NH3,1.0,1.0,1.0
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-08-07 11:00:00,27.103358,93.679645,SO2,11.0,12.0,11.0
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-08-07 11:00:00,27.103358,93.679645,OZONE,7.0,7.0,7.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-08-07 11:00:00,26.1875,91.744194,NH3,1.0,1.0,1.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-08-07 11:00:00,26.1875,91.744194,SO2,32.0,34.0,32.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-08-07 11:00:00,26.1875,91.744194,CO,16.0,19.0,18.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-08-07 11:00:00,26.181742,91.78063,PM10,14.0,41.0,27.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-08-07 11:00:00,26.181742,91.78063,NO2,3.0,4.0,3.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-08-07 11:00:00,26.181742,91.78063,CO,13.0,14.0,14.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-08-07 11:00:00,26.10887,91.589544,PM10,17.0,61.0,44.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2026-08-07 11:00:00,26.2028636,91.70046436,PM2.5,7.0,37.0,18.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2026-08-07 11:00:00,26.2028636,91.70046436,OZONE,3.0,10.0,6.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-08-07 11:00:00,26.349082,92.68449,SO2,7.0,15.0,11.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-08-07 11:00:00,24.82827,92.79525,PM2.5,32.0,33.0,32.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-08-07 11:00:00,24.82827,92.79525,NO2,16.0,18.0,16.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-08-07 11:00:00,24.82827,92.79525,CO,30.0,37.0,33.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-08-07 11:00:00,24.82827,92.79525,OZONE,2.0,3.0,2.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-08-07 11:00:00,26.987634,94.636574,PM10,1.0,24.0,16.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-08-07 11:00:00,26.987634,94.636574,OZONE,18.0,47.0,27.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2026-08-07 11:00:00,26.146529,87.454184,PM10,26.0,141.0,50.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2026-08-07 11:00:00,26.146529,87.454184,SO2,0.0,20.0,10.0
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2026-08-07 11:00:00,24.75746,84.366208,SO2,2.0,19.0,8.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-08-07 11:00:00,25.7808257,84.7446768,NO2,2.0,2.0,2.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-08-07 11:00:00,25.7808257,84.7446768,NH3,2.0,3.0,3.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-08-07 11:00:00,25.7808257,84.7446768,CO,77.0,101.0,87.0
